domain,street_address,mailable,in_target_list,flag
aesintl.com,"101 Technology Lane; Mount Airy, North Carolina 27030, US",yes,yes,
aetnacorp.com,"175 Brookline Street; Cambridge, MA 02139, US",yes,yes,
afelectric.net,"465 Borrego Ct # B, San Dimas, CA 91773, US",yes,yes,
affordableflags.com,"3905 S HWY 85-87, COLORADO SPRINGS, Colorado 80911, US",yes,,
afi-systems.com,"10801 Nations Ford Road; Pineville, North Carolina NC 28134, US",yes,yes,
agesinc.us,"608 Center St, Smithton, Pennsylvania 15479, US",yes,yes,
agiconstruction.com,"34 Appian Way; Smithfield, Rhode Island 02917, US",yes,yes,
agostinoutilities.com,"4457 Skippack Pike, Suite 101, Schwenksville, Pennsylvania 19473, US",yes,yes,
agtservices.com,"24 Sam Stratton Rd; Amsterdam, NY 12010, US",yes,yes,
aha-engineers.com,"77 S Bedford St, Suite 140, Burlington, Massachusetts 01803, US",yes,,
ahindllc.com,"2413 Schuster Dr, Suite C, Hyattsville, Maryland 20781, US",yes,yes,
aidelectric.com,"Minneapolis, US",NO - city/state only,yes,
airconmechanical.com,"3121 SE 14th St; Des Moines, Iowa 50320, US",yes,yes,
airdinc.com,"5711 Industry Ln, #29, Frederick, Maryland 21704, US",yes,,
airekoenergygroup.com,"2415 W Sand Lake Rd, Ste. E, Orlando, Florida 32809, US",yes,yes,
airelectro.com,"9452 De Soto Ave., Los Angeles, CA 91313, US",yes,,
airportnac.com,"Brooksville , 34604, US",NO - city/state only,,
airpowerconsultants.com,"18903 W 157th Terrace; Olathe, KS 66062, US",yes,yes,
airsaviation.com,"665 Mokena Drive; Suite #104; Miami Springs, Florida 33166, US",yes,yes,
aisav.com,"58 N 300 W, Suite E, Tremonton, Utah 84337, US",yes,,
ait-marine.com,"2427 Ingleside Road, Norfolk, VA 23513, US",yes,,
aitechfl.com,"4811 Lyons Technology Pkwy, Suite 15, Coconut Creek, Florida 33073, US",yes,yes,
ajgoulderelectric.com,"4307 Hamann Parkway, Willoughby, Ohio 44094, US",yes,yes,
ajielectric.com,"11011 BROOKLET DR, STE 340; HOUSTON, Texas 77099, US",yes,yes,
