domain,street_address,mailable,in_target_list,flag
digtechtexas.com,"798 Globe Hill Rd, Giddings, TX 78942",yes,yes,
dillengrinc.com,"1751 Hurd Drive, Ste 111, Irving, TX 75038, US",yes,yes,
dillonlp.com,"7313 GROVE RD; Frederick, Maryland 21704, us",yes,yes,
dintoelectric.com,"121 Turnpike Dr; Middlebury, Connecticut 06762, US",yes,yes,
directionaldrilling.com,"8155 Ridge Rd, Zanesville, Ohio 43701, US",yes,yes,
directionaltech.com,"77 N Plains Industrial Rd, Wallingford, Connecticut 06492, US",yes,,
directstrikelightningprotection.github.io,"628 Davidson Dr, Verona, PA 15147, US",yes,yes,
discipleelectric.com,"1030 TROUSDALE FERRY PIKE; Lebanon, Tennessee 37087, us",yes,yes,
distinctivehospitality.com,"6215 Chesapeake Circle, Suite C, New Kent, Virginia 23124, US",yes,,
ditrol.com,"2828 Golf Course Rd; Kingsville, Texas 78363, US",yes,yes,
diversifiedsci.com,"203 SW 4th St, Okeechobee, Florida 34974, US",yes,yes,
diversitec.com,"14321 Sommerville Court; Suite 100; Midlothian, VA 23113-6837, US",yes,yes,
divienergy.com,"4275 N Thanksgiving Way; Ste 500; Lehi, Utah 84043, US",yes,yes,
divtecs.com,"35 Wiggins Ave, Bedford, MA 01730, US",yes,yes,
dixieemsi.com,"2115 Freedom Dr, Charlotte, NC 28208",yes,yes,
dixonelectrical.com,"3352 Norwood Rd; Huntington, West Virginia 25705, US",yes,yes,
djselectrical.com,"1160 Reads Run, Traverse City, Michigan 49684-9089, US",yes,yes,
dkelectricinc.com,"1785 E. LA LOMA AVENUE; SOMIS, California 93066, US",yes,yes,
dlsmith.com,"1405 SW 41st Street, Topeka, KS 66609, US",yes,yes,
dlsteiner.com,"1201 Findlay Road; Lima, Ohio 45801, US",yes,yes,
dmelectrical.com,"90 South Central Ave, Elmsford, NY 10523, US",yes,yes,
dnesco.com,"7811 N 86th St; Milwaukee, Wisconsin 53224, US",yes,yes,
dnscleveland.com,"80 Helwig St, Berea, Ohio 44017, US",yes,,
dobbinsco.com,"7600 COMMERCE LANE, TRUSSVILLE, AL 35173, US",yes,,
doctorelectric.net,"1475 Buford Drive; Suite 403-158; Lawrenceville, Georgia 30043, US",yes,yes,
doleac.com,"1120 Finlo Dr, Hattiesburg, Mississippi 39401-5046, US",yes,yes,
domesav.com,"724 First Colonial Road, Virginia Beach, Virginia 23451, US",yes,,
dominiontx.com,"16161 College Oak, San Antonio, TX 78249, US",yes,,
donovanenergy.com,"530 Walnut St; Suite 200; Cincinnati, Ohio 45202, US",yes,yes,
doreyelectric.com,"894 Widgeon Road Norfolk, Va 23513, P O BOX 10158; Norfolk, VA 23513, US",yes,yes,
dotsonelectric.com,"551 Cal Batsel Rd, Bowling Green, Kentucky 42104, US",yes,yes,
douglaselectric.us,"1812 BRIGHTON HENRIETTA TL ROAD, Rochester, New York 14623, US",yes,yes,
doyleelectricinc.com,"15035 JEFFERSON HWY; Baton Rouge, Louisiana 70817, US",yes,yes,
drbelectric.com,"3601 Second Street SW; Albuquerque, New Mexico 87105, US",yes,yes,
dreisilker.com,"352 Roosevelt Road, Glen Ellyn, IL 60137, US",yes,yes,
drscorp.net,"8955 Ridgeline Blvd, Suite 700, Highlands Ranch, CO 80129, US",yes,,
dseelectric.com,"150 N Walnut Ave; Suite B; San Dimas, California 91773, US",yes,yes,
dselectric.us,"2231 Fortune Dr; Suite B; San Jose, California 95131, US",yes,yes,
dtselectric.com,"16182 Gothard St, Huntington Beach, CA 92647, US",yes,yes,
dubakelectrical.com,"10 Beach Ave, La Grange Park, Illinois 60526, US",yes,yes,
dudetesting.com,"145 Tower Drive, Unit 9; Burr Ridge, IL 60527, US",yes,yes,
dugantool.net,"1145 E Airline Dr, East Alton, Illinois 62024, US",yes,,
dukeelec.com,"6451 FM-1541; Amarillo, Texas 79118, US",yes,yes,
durkinelectric.com,"13842 Harrison St, Blue Island, Illinois 60406-2809, US",yes,yes,
dustbusterspavementsweeping.com,"P.O. Box 603, Anoka, Minnesota 55303, US",yes,,
duthiepower.com,"2335 E. Cherry Industrial Circle; Long Beach, CA 90805, US",yes,yes,
duttonelectric.com,"12407 Mukilteo Speedway # 17; Lynnwood, Washington 98037-1518, US",yes,yes,
dvlnet.com,"115 Sinclair Road, Bristol, PA 19007, US",yes,yes,
dvorakllc.com,"2700 N Point Blvd; Baltimore, Maryland, US",yes,yes,
dwcbuilds.com,"2014 Gladstone Avenue, Nashville, TN 37210, US",yes,,
dwevans.com,"3511 Evans Corporate Ln; Durham, North Carolina 27705, US",yes,yes,
dynamic2016.com,"262 Carlton Dr, Carol Stream, Illinois 60188, US",yes,yes,
dynamicelectric.com,"12800 S. Cicero; Alsip, IL 60803, US",yes,yes,
dynamicmotions.com,"8449 W Antoine Loop; Shreveport, Louisiana 71129-8807, US",yes,yes,
dynamicsresearch.net,"3778 Timberlake Dr, Richfield, OH 44286, US",yes,yes,
dynamoelectricllc.com,"1018 Roxleigh Rd, Towson, Maryland 21286, US",yes,,
dynomill-us.com,"2018 Edwards Ave; South El Monte, California 91733, US",yes,yes,
e-hazard.com,"3018 Eastpoint Parkway; Louisville, KY 40223, US",yes,yes,
e-mllc.com,"910 Parker Ave W, Dassel, MN 55325, US",yes,yes,
e-tecinc.net,"3468 Washington Road; East Point, Georgia 30344, US",yes,yes,
e3rinc.com,"7801 Mission Center Ct, 400, San Diego, California 92108, US",yes,,
eachengineering.com,"One Gateway Center; Suite 2600; Newark, New Jersey 07102, US",yes,yes,
eagleelect.com,"3942 VALLEY AVE, Suite J, Pleasanton, California 94566, US",yes,yes,
eastcoastvalve.com,"115A Leonard Drive, Groton, Connecticut 06340, US",NO - city/state only,yes,
easternelectricllc.com,"23746 Midland Trail; Victor, West Virginia 25938, US",yes,yes,
easttexaslightningprotection.com,"934 N Texas St #1174, Emory, TX 75440",yes,yes,
ec-m.com,"5527 Mechanicsville Tpke, Mechanicsville, Virginia 23111, US",yes,yes,
ecahq.com,"7320 Arlington Ave., Raytown, Missouri 64133, US",yes,yes,
echemconsultants.com,"4 Jefferson Plaza, Suite 500, Poughkeepsie, New York 12601, US",yes,yes,
echoedcorp.com,"4597 Parkbreeze Ct; Orlando, Florida 32808, US",yes,yes,
echopower.com,"PO Box 2587, Hendersonville, TN 37077, US",yes,yes,
echosolutionsusa.com,"P.O. BOX 1615; Lake Junaluska, NC 28745, US",yes,yes,
eciwest.com,"145 East 1760 South, PO Box 606, Price, Utah 84501, US",yes,yes,
ecpwr.com,"909 King Ave; Suite 200; Columbus, Ohio 43212, US",yes,yes,
ecsintl.com,"5500 E Loop 820 S #205; Fort Worth, TX 76119, US",yes,yes,
edeusa.com,"8133 Eagle Palm Dr, Riverview, Florida 33578, US",yes,yes,
edgarelectricinc.com,"3704 Highway 412 E; Paragould, Arkansas 72450, US",yes,yes,
edgeserviceco.com,"West Monroe, Louisiana 71292, US",NO - city/state only,yes,
edi-dolejs.com,"1112 N 5th St, Minneapolis, MN 55411",yes,yes,
edmlink.com,"4001 Automation Way, Fort Collins, Colorado 80525, US",yes,yes,
edwardwscottelectric.com,"500 W Ohio Avenue, Richmond, California 94804, US",yes,yes,
eecmotor.com,"6719 Woolworth Rd; Shreveport, Louisiana 71129, US",yes,yes,
eecsi.com,"13 Prestige Cir; Ste 100; Allen, Texas 75002, US",yes,yes,
eeengineering.org,"[no street] Houston, Texas 77002, US",yes,yes,
eemsco.com,"600 W Eichel Ave; Evansville, Indiana 47710-2412, US",yes,yes,
eepros.com,"16650 North 91st Street; Scottsdale, AZ 85260, US",yes,yes,
eesc-ct.com,"215 Captain Lewis Dr, Southington, Connecticut 06489, US",yes,yes,
eescorp.com,"5 Turnberry Lane, Sandy Hook, CT 06482, US",yes,,
eesystemsusa.com,"5560 Corporate Exchange Ct SE; Grand Rapids, Michigan 49512, US",yes,yes,
eeu-inc.com,"21 Telfair Pl; Savannah, GA 31415, US",yes,yes,
efbelkelectric.com,"933 Oakridge Farm Highway, Mooresville, North Carolina 28115, US",yes,yes,
efficient-electric.com,"4800 Groves Rd, Columbus, Ohio 43232, US",yes,,
eggelectric.com,"35 W 45th St; 4; New York, New York 10036, US",yes,yes,
egmiddleton.com,"2510 Cromwell Rd, Norfolk, VA 23509",yes,yes,
ehvconstruction.com,"11881 Oakalla Loop, Killeen, Texas 76549, US",yes,yes,
eiielectric.com,"530 South Avenue East; Cranford, New Jersey 07016, US",yes,yes,
el-hy-mec.com,"8940 Zachary Ln N; Maple Grove, Minnesota 55369, US",yes,yes,
elandelectric.com,"3154 Holmgren Way, Green Bay, WI 54304, US",yes,yes,
elco-electric.com,"1957 O'Toole Way, San Jose, CA 95131, US",yes,yes,
elecpwr.com,"Chester, Virginia, US",NO - city/state only,yes,
elecsysgroup.com,"200 Summit Lake Drive, Suite 320, Valhalla, New York 10595, US",yes,yes,
electrexindustrial.com,"41700 Executive Drive, Harrison Township, Michigan 48045, US",yes,yes,
electricadvantage.com,"1084 Taft St; Rockville, Maryland 20850, US",yes,yes,
electrical-testing.com,"3 Buel St #4, Wallingford, CT 06492",yes,yes,
electrical-work.com,"[no street] Murrieta, California 92562, US",yes,yes,
electricalapparatus.net,"5619 Gallagher Dr; Gastonia, North Carolina 28052, US",yes,yes,
electricaldynamics.com,"72B Concord Street; North Reading, Massachusetts 01864, US",yes,yes,
electricalengineeringenterprises.com,"5316 E. Henry Ave., Tampa, FL 33610, US",yes,yes,
electricalexcellence.com,"PO Box 8119; Colorado Springs, Colorado 80933, US",yes,yes,
electricalinnovations.net,"830 Beckman Rd # F; Lodi, California 95240-3129, US",yes,yes,
electricalrepairserviceco.com,"PO Box 321638, Birmingham, Alabama 35232, US",yes,yes,
electricalservicesco.com,"9835 Kitty Lane, Oakland, CA 94603, US",yes,yes,
electricalsystemsinc.net,"7160 S State Rd; Suite B; Goodrich, Michigan 48438, US",yes,yes,
electricaltechniques.com,"1199 E Henri De Tonti Blvd; Springdale, AR 72762, US",yes,yes,
electriciansinc.com,"2688 Waiwai Loop, Honolulu, HI 96819, US",yes,yes,
electriciansincomaha.com,"14135 S 220th St, Suite 4, Gretna, Nebraska 68028, US",yes,,
electricinnovations.com,"[no street] Redding, California, US",yes,yes,
electricmotorrewindofrupert.com,"214 ID-24, Rupert, ID 83350",yes,yes,
electricmotorservice.net,"1928 Milwaukee Way, Tacoma, Washington 98421, US",yes,yes,
electricmotorservices.net,"6350 Indianapolis Blvd; Hammond, IN 46320, US",yes,yes,
electricmotorshop.com,"253 Fulton Street, Fresno, CA 93725, US",yes,yes,
electricmotorshopnc.com,"1225 North White Street; Wake Forest, NC 27587, US",yes,yes,
electricmotorsinc.com,"3057 b Ohio Dr; Henderson, Kentucky 42420, US",yes,yes,
electrico.net,"1501 Vaughn Rd, Wood River, Illinois 62095-1855, US",yes,yes,
electricsupplyfsd.com,"105 N Fairfax Ave; Sioux Falls, SD 57103, US",yes,yes,
electritech.com,"1334 Mays Landing Rd; Folsom, New Jersey 08037, US",yes,yes,
electroconstruction.com,"3021 Rowena Ave, Los Angeles, California 90039-2097, US",yes,yes,
electrolabcontrols.com,"159 Enterprise Parkway, Boerne, Texas 78006, US",yes,,
electromechanex.com,"158 W. WEYMOUTH ROAD; VINELAND, NJ 08360, US",yes,yes,
elemco.com,"505 Johnson Ave; Bohemia, New York 11716-2612, US",yes,yes,
elevatormotor.com,"809 E State St; Trenton, NJ 08609, US",yes,yes,
eliteelectrical.net,"PO BOX 29165; BELLINGHAM, Washington 98228, US",yes,yes,
eliteelectricgroup.com,"4226 NE 161st Ave, Suite B, Portland, Oregon 97230, US",yes,yes,
eliteindustrialllc.com,"Gillette, Wyoming 82717, US",NO - city/state only,yes,
elitepower.com,"6530 Asher Lane, Sacramento, CA 95828, US",yes,yes,
elitepowersolutions.io,"5255 W 11000 N, Highland, UT 84003",yes,yes,
elliottelectric.net,"1600 S Broadway St, Coal City, IL 60416",yes,yes,
elmelec.com,"68 Union St., Westfield, Massachusetts 01033, US",yes,yes,
elmocarterconstruction.com,"608 Adamson Rd, Cedartown, Georgia 30125, US",yes,yes,
elongo.com,"1 Harry Shupe Blvd, Wharton, New Jersey 07885, US",yes,yes,
emainc.net,"5220 Langford Park Drive, Suite A; Norcross, GA 30071, US",yes,yes,
emc-co.com,"3703 Cook Blvd; Chesapeake, VA 23323, US",yes,yes,
emerald-standard.com,"520 Preston Ave.; Pasadena, TX 77503, US",yes,yes,
emergingtech-llc.com,"1613 Columbus Street; Two Rivers, Wi 54241, US",yes,yes,
emiofkc.com,"861 S 66th Terrace, Kansas City, Kansas 66111, US",yes,yes,
empower-electric.com,"321 Homestead Rd; Nashville, Tennessee 37207, US",yes,yes,
empowerconstruct.com,"235 New York Dr; Fort Washington, Pennsylvania 19034, US",yes,yes,
emsindustrial.com,"4901 Prairie Dock Drive, Madison, Wisconsin 53718, US",yes,yes,
emtec-engineers.com,"3555 Veterans Memorial Highway, Suite M, Ronkonkoma, NY 11779, US",yes,,
emtgengineers.com,"236 Mineola Blvd., Mineola, NY 11501, US",yes,,
encoreenergygroup.com,"342 Changebridge Rd #101, Pine Brook, NJ 07058",yes,yes,
endpointcorporation.com,"6871 South Lovers Lane, Franklin, WI 53132, US",yes,,
enduro-ts.com,"200 Prosperity Dr, Knoxville, TN 37923, US",yes,yes,
energy-test.com,"Calle Begonias 3103; 02; Ampl Jardin Dorado, Baja California 22200, MX",NO - city/state only,yes,
energycx.com,"600 W Chicago Ave, 250, Chicago, Illinois 60654, US",yes,,
energygroupusa.com,"1600 East Grand Blvd.; Suite 300; Detroit, MI 48211, US",yes,yes,
energyresourcesgroup.us,"23 Commerce Park Way, Farmington, New Hampshire 03835, US",yes,yes,
energysource.com,"37 Thurber Blvd; Smithfield, Rhode Island 02917, US",yes,yes,
enertechelectrical.com,"101 Youngstown-Lowellville Road; Lowellville, Ohio 44436, US",yes,yes,
engineeredlifting.com,"601 Gravois Bluffs Blvd, Suite O, Fenton, Missouri 63026, US",yes,,
engineeredrepinc.com,"1320 N Lake St, Neenah, Wisconsin 54956, US",yes,,
enspectinc.com,"8300 Mississippi Street, Merrillville, Indiana 46410, US",yes,,
enterpriseelectric.net,"46 Capital Ave, Lisbon Falls, Maine 04252, US",yes,yes,
envibe.com,"5522 Mitchelldale St; Houston, Texas 77092, US",yes,yes,
enyartelectric.com,"1313 Prairie Ave; South Bend, Indiana 46613, US",yes,yes,
epd-mi.com,"18840 Woodworth, Redford, Michigan, US",yes,yes,
eplusadvisors.com,"9018 Heritage Pkwy, Woodridge, Illinois 60517, US",yes,,
epowernetwork.com,"1020 Segovia Circle; Placentia, CA 92870, US",yes,yes,
eps-stl.com,"48 Progress Parkway; St. Louis, MO 63043, US",yes,yes,
erwinsc.com,"1280 N La Loma Circle, Anaheim, California 92806, US",yes,yes,
esbdesignbuild.com,"11280 W Adonis Rd, Marana, AZ 85658, US",yes,,
escventura.com,"2368 Eastman Ave.; Suite 13; Ventura, CA 93003, US",yes,yes,
esiconsult.com,"1315 NW 98th Ct, Doral, Florida, US",yes,,
espatl.com,"1075 Progress Circle; Lawrenceville, GA 30043, US",yes,yes,
espohio.com,"4110 Demorest Rd, Grove City, OH 43123, US",yes,yes,
estarelectricinc.com,"4600 140th Ave N; Suite 200; Clearwater, FL 33762, US",yes,yes,
ethos.green,"729 North Main Street, Viroqua, WI 54665, US",yes,,
ettingerengineering.com,"New York, New York 10018, US",NO - city/state only,,
eurtonelectric.com,"9920 Painter Avenue; P.O. Box 2113; Santa Fe Springs, California 90670, US",yes,yes,
ev-edison.com,"[no street] Kearny, New Jersey, US",yes,yes,
evchargersusa.com,"1968 S Coast Hwy suite 639, Laguna Beach, CA 92651",yes,yes,
everhartandhoover.com,"PO Box 416, Hustontown, Pennsylvania 17229, US",yes,yes,
everywattmatters.com,"89 Middlesex Street; Glasgow, Scotland G41 1, GB",yes,yes,
evhookup.com,"80 E Hawthorne Ave, Valley Stream, NY 11581",yes,yes,
evolvedle.com,"1850 Dividend Dr, Columbus, Ohio 43228, US",yes,yes,
evolveincorporated.com,"10555 Cossey Road; Houston, TX 77070, US",yes,yes,
evrange.com,"403 W 21st St; San Pedro, California 90731, US",yes,yes,
evrevolution.com,"6300 Limousine Drive, Ste 114, Raleigh, North Carolina 27617, US",yes,yes,
ewme.com,"1974 Steam Way, Round Rock, TX 78665, US",yes,,
exbatt.com,"Economic Zone Arberia; Building #4, EXBATT Offices; Prishtina, 10000, XK",NO - city/state only,yes,
excelelectricco.com,"285 Fairforest Way; Greenville, South Carolina 29607, US",yes,yes,
excelltdinc.com,"888 E. Belvidere Rd., Unit 405, Grayslake, Illinois 60030, US",yes,yes,
excelunderground.com,"5288 Pasture Ln; Omro, Wisconsin 54963, US",yes,yes,
exele.com,"349 W Commercial St, Suite 3300, East Rochester, New York 14445, US",yes,,
exeltech.com,"7317 Jack Newell Blvd N, Fort Worth, Texas 76118, US",yes,yes,
ezelectricmotor.com,"23440 MILES RD; CLEVELAND, Ohio 44128, US",yes,yes,
ezevelectric.com,"Denver, Colorado, US",NO - city/state only,yes,
facilico.com,"4 A Street, Burlington, MA 01803, US",yes,yes,
facilitydynamics.com,"6760 Alexander Bell Drive, Suite 200, Columbia, MD 21046, US",yes,,
facilitygateway.com,"4916 East Broadway; Madison, WI 53716, US",yes,yes,
facilityitgroup.com,"5420 Newport Dr. #64; Rolling Meadows, IL 60008, US",yes,yes,
faganelectricalservice.com,"15R Greenwood Ave, Woburn, MA 01801, US",yes,yes,
failureprevention.com,"2800 E Broadway Street; C-252; Pearland, TX 77581, US",yes,yes,
farnuminsulators.com,"East Dummerston, VT 05346, US",NO - city/state only,,
fcps-electric.com,"212 McClanahan Dr, Bryant, Arkansas 72022, US",yes,yes,
feace.com,"197 Scott Swamp Rd; Farmington, Connecticut 06032, US",yes,yes,
fee-ups.com,"30001 Comercio; Rancho Santa Margarita, California 92688, US",yes,yes,
ferreirapw.com,"2 Executive Circle, Suite 125, Irvine, California 92614, US",yes,yes,
ferrellelectric.net,"3122 S Great SW Parkway; Grand Prairie, TX 75052, US",yes,yes,
fibernext.com,"41 Locke Rd, Concord, NH 03301, US",yes,,
fie-inc.com,"104 Commerce St; Lake Mary, Florida 32746, US",yes,yes,
finalphaseelectric.net,"300 Nibco Pkwy, 3rd Floor, Elkhart, Indiana 46516, US",yes,yes,
finncoservices.com,"8241 Beech Ave., Fontana, California 92335, US",yes,,
firstelectricmotor.com,"73 Olympia Ave, Woburn, MA 01801",yes,yes,
firstlineassociates.com,"211 West St, Milford, Massachusetts 01757, US",yes,,
firstpowergroupllc.com,"8941 Dutton Drive; Twinsburg, OH 44087, US",yes,yes,
fitzec.com,"6S865 Shaw Road, Big Rock/Chicago, Illinois, US",yes,yes,
fivestarelectric.org,"756 SW Bailey St, Hillsboro, OR 97123, US",yes,yes,
fkaild.com,"304 South Broadway Suite 203, Los Angeles, CA 90013, US",yes,,
fkconst.com,"2055 W 150 S, Flora, Indiana 46929, US",yes,,
flamtech-energy.com,"Homestead, Florida 33032, US",NO - city/state only,yes,
flemingtoninstrument.com,"55 Sandra Rd; Ringoes, NJ 08551, US",yes,yes,
flkeyselectric.com,"905 Overseas Highway, Key West, FL 33040, US",yes,yes,
flolo.com,"1400 Harvester; West Chicago, Illinois 60185, US",yes,yes,
floridasol.net,"Miami, Florida, US",NO - city/state only,yes,
florylineconstruction.com,"2195 S Sheridan Rd, Lennon, Michigan 48449, US",yes,yes,
flyingxelectric.com,"1227 W Campbell Rd; Ste 301; Richardson, TX 75080, US",yes,yes,
fmsolutions.net,"20171 N Bustos Way, Maricopa, Arizona 85138, US",yes,,
fnalandscape.com,"Fort Worth, US",NO - city/state only,,
focalpointpartners.com,"12400 Pillsbury Ave, Burnsville, MN 55337, US",yes,yes,
formex.us,"2082 Michelson Dr STE 100; Irvine, CA 92612-1212, US",yes,yes,
four-gen.com,"815 Commerce Drive; Suite 110; Oak Brook, IL 60523, US",yes,yes,
foxsystemsinc.com,"1771 US Hwy 41 SW, Calhoun, Georgia 30701, US",yes,yes,
foxvalleyelec.com,"11022 N 28th Dr, 155, Phoenix, Arizona 85029, US",yes,,
foygroup.net,"901 Powell Ave SW, Suite 100, Renton, Washington 98057, US",yes,yes,
fpiseattle.com,"17410 Ash Way, 8, Lynnwood, Washington 98037, US",yes,,
francisenergy.com,"15 E 5th Street; Suite 8; Tulsa, Oklahoma 74103, US",yes,yes,
frankartelectric.com,"550 E Zeller Rd, Fostoria, OH 44830",yes,yes,
franklinengineering.com,"381 Riverside Drive, Suite 200, Franklin, TN 37064, US",yes,yes,
fraziersignals.com,"1506 State Street; Suite 106; Veazie, ME 04401, US",yes,yes,
freedomaeroservice.com,"3200 HOWARD ST; Mcclellan, California 95652, us",yes,yes,
freelandelectricllc.com,"19200 Middletown Rd, Parkton, Maryland 21120, US",yes,yes,
frontiereow.com,"7217 NE 99TH STREET; VANCOUVER, WA 98662, US",yes,yes,
frontrangewireless.com,"7476 S Eagle St, Unit A, Centennial, Colorado 80112, US",yes,,
fulcrumreliability.com,"405 Main Street, Suite 700, Houston, TX 77002, US",yes,yes,
fullcircleindustrial.com,"31 Marquette Avenue; Oglesby, IL 61348, US",yes,yes,
fullerelectric.com,"1018 Cudahy Place; Suite B; San Diego, CA 92110, US",yes,yes,
fullfordelectric.com,"303 E Van Horn Rd, Fairbanks, Alaska 99701, US",yes,yes,
fusionelectric-inc.com,"4919 Windplay Drive, Suite 4; El Dorado Hills, CA 95762, US",yes,yes,
future-controls.com,"5719 Zip Dr Suite 1; Fort Myers, FL 33905, US",yes,yes,
futurefuelsenergy.com,"120 Meat Plant Rd, Lexington, South Carolina 29073, US",yes,yes,
fyi.solutions,"Spearman, Texas, US",NO - city/state only,yes,
fyrerok.com,"301 N. Spring Street, Suite 102, Bellefonte, Pennsylvania 16823, US",yes,,
g-gelectricservice.com,"15510 US-27, Lake Wales, FL 33859",yes,yes,
g3electrical.com,"1951 Stella Lake St, Las Vegas, Nevada, US",yes,yes,
gabelassociates.com,"417 Denison St, Highland Park, New Jersey 08904, US",yes,,
gadestraffic.com,"5801 W Harry; Wichita, KS 67209, US",yes,yes,
gaiadevelopment.com,"12130 Millennium Drive, Suite 300, Unit C, Playa VIsta, California 90094, US",yes,,
gallagherelectric.co,"8699 Via Giula, Boca Raton, FL 33496, US",yes,,
gandptechnology.co.uk,"Unit 2D, Chilton Industrial Estate, Chilton, County Durham DL17 0SF, GB (NON-US)",yes,yes,
gandrmetals.com,"810 Kiwanis St, Hampton, Virginia 23661, US",yes,,
garbaindustrial.com,"4919 Denver St; Tampa, FL 33619, US",yes,yes,
gardnerelectric-ky.com,"4131 Hawkins Rd, Hodgenville, KY 42748",yes,yes,
garnerconstructionwbe.com,"5301 Ravenna Ave NE, Seattle, WA 98105, US",yes,,
garnetelectric.com,"1615 E State St, Sheffield, Alabama 35660, US",yes,yes,
gatchelectrical.com,"941 Dupont Rd; Charleston, SC 29407, US",yes,yes,
gatewayelectric.com,"Cleveland, US",NO - city/state only,yes,
gavietri.com,"105 Independence Way, Coatesville, Pennsylvania 19320, US",yes,yes,
gcarterconstruction.com,"805 N Bell Blvd; Cedar Park, Texas 78613-2212, US",yes,yes,
gcats.com,"P.O. Box 560603; Dallas, Texas 75356, US",yes,yes,
gcemsinc.com,"3810 Hopkins Street, Pensacola, Florida 32505, US",yes,yes,
gdvoltage.net,"7020 Hayvenhurst Ave; Unit L; Van Nuys, California 91406, US",yes,yes,
geflorida.com,"2695 NW 4th St; Ocala, Florida 34475, US",yes,yes,
geminielectric.net,"44455 Reynolds Dr, Clinton Township, Michigan 48036, US",yes,yes,
genalco.com,"333 Reservoir St, Needham, Massachusetts 02494-3145, US",yes,,
genelco-inc.com,"14647 S 50th St; Ste- A155; Phoenix, Arizona 85044, US",yes,yes,"Inven resolved genelco-inc.com to powerxco.com (Powerx) - possible wrong-entity match, verify before mailing"
generatorsofhouston.com,"10727 Tower Oaks Blvd, Houston, Texas 77070, US",yes,yes,
generayelectric.com,"304 Valley Creek Rd; Elizabethtown, Kentucky 42701, US",yes,yes,
genesiselectric.com,"[no street] Indianapolis, Indiana, US",yes,yes,
gensolutionsllc.com,"14519 EAST FREEWAY; Houston, Texas 77015, US",yes,yes,
geoforceutilitytech.com,"2265 N NC 16 Business Hwy; Denver, North Carolina 28037, US",yes,yes,
geotecheng.com,"17407 US Highway 59, Houston, TX 77396, US",yes,,
gerstnerelectric.com,"2400 Cassens Dr, Fenton, MO 63026, US",yes,yes,
get-ny.com,"16 West 36th Street; Suite 601; New York, NY 10018, US",yes,yes,
getgenesiselectric.com,"355 Lively Blvd; Elk Grove Village, Illinois 60007, US",yes,yes,
gets-usa.com,"2631 Success Dr, Odessa, Florida 33556, US",yes,yes,
getspeedcharge.com,"7200 Gateway Blvd; Newark, California 94560, US",yes,yes,
ghec.biz,"920 Morningside Rd, Charlotte, NC 28214",yes,yes,
gibson-painting.com,"105 N 36th St, C, Lafayette, Indiana 47905, US",yes,,
gigaelectricalca.com,"[no street] Commerce, CA 90040, US",yes,yes,
gigerich.net,"4669 Malvern Road; Hot Springs, AR 71901, US",yes,yes,
gileselectriccompany.com,"1700 South Segrave Street; South Daytona, FL 32119, US",yes,yes,
gilmoreelectric.com,"2875 Jupiter Park Dr, Jupiter, FL 33458, US",yes,yes,
gilsulate.com,"26000 Springbrook Ave. #201, Santa Clarita, CA 91350, US",yes,,
gl.com,"818 W Diamond Ave #3, Gaithersburg, MD 20878",yes,,
glazetool.com,"1610 SUMMIT ST, NEW HAVEN, IN 46774, US",yes,,
glenelgconstruction.com,"7410 Coca Cola Dr; Ste 211; Hanover, Maryland 21076, US",yes,yes,
glenwoodelectric.com,"12250 CHANDLER DRIVE, WALTON, Kentucky 41094, US",yes,yes,
globalelectricusa.com,"32480 NW Cottage St, North Plains, OR 97133",yes,yes,
globalpowergroup.com,"12060 Woodside Ave, Lakeside, CA 92040, US",yes,yes,
globexcorp.com,"3620 Stutz Drive, Canfield, OH 44406, US",yes,,
globuselectric.com,"1440 N. Broad St.; Hillside, New Jersey 07205, US",yes,yes,
gmeaservices.com,"1514 Ed Bluestein Blvd.; Suite 301; Austin, Texas 78721, US",yes,yes,
gmselevator.com,"401 Borrego Court, San Dimas, California 91773, US",yes,,
gobeaon.com,"8900 Edgeworth Dr, Unit T, Capitol Heights, Maryland 20743, US",yes,yes,
godfreyelectric.com,"1222 Omar Rd, West Palm Beach, FL 33405, US",yes,yes,
goecs.com,"3702 West Valley Highway North, Suite 302, Auburn, WA 98001, US",yes,,
goemc.com,"501 West 700 South; Salt Lake City, Utah 84101, US",yes,yes,
goforthelectric.com,"16 Liberty Street; Brockport, NY 14420, US",yes,yes,
gohispeed.com,"7030 Ryburn Drive, Millington, Tennessee 38053, US",yes,yes,
goleyinc.com,"1707 BLUFFVIEW DR., DUPO, Illinois 62239-1488, US",yes,,
gonzalescontractors.com,"4001 S Hwy 349, Midland, Texas 79706, US",yes,,
goodbeeassoc.com,"1658 Cole Blvd, Golden, Colorado 80401, US",yes,,
goodenergysolutions.com,"641 E 22nd St, Lawrence, KS 66046, US",yes,,
gordonenergy.com,"15735 S Mahaffie Rd., Olathe, KS 66062, US",yes,,
gordyconstruction.com,"2960 Smith Rd, Columbus, Georgia 31808, US",yes,,
gospacego.com,"Tampa, Florida 33637, US",NO - city/state only,yes,
gprus.com,"22365 Broderick Dr, Sterling, Virginia 20166, US",yes,,
graceport.com,"1515 E Kimberly Rd., Davenport, Iowa 52807, US",yes,yes,
grandeurfasteners.com,"18798 E. State Hwy 10, Danville, Arkansas 72833, US",yes,,
graphicelectric.org,"6644 E 26th St, Commerce, CA 90040",yes,yes,
