domain,company,phone_on_file,company_switchboard,verdict
abstractelectric.com,Abstract Electric,+1 920-889-1547,9208714014,differs from switchboard - likely already a direct line
bibleelectric.com,"Bible Electric, Inc.",+1 719-264-9988,7192655066,differs from switchboard - likely already a direct line
cusaconsulting.com,CUSA Consulting Corp,+1 603-498-4549,6039265895,differs from switchboard - likely already a direct line
masterelectric.com,Master Electric,+1 952-890-3555,9528903555,MAINLINE - still needs a cell
rosecityelectricco.com,Rose City Electric Co.,+1 503-867-4203,5032876164,differs from switchboard - likely already a direct line
seahurst.com,"Seahurst Electric, Inc.",+1 425-508-9740,4252581882,differs from switchboard - likely already a direct line
sselectric.com,"Sunshine State Electric of Florida, Inc.",+1 954-444-6207,9545651153,differs from switchboard - likely already a direct line
swelectricinc.com,"S&W Electrical Contractors, Inc.",+1 508-294-1655,5086979680,differs from switchboard - likely already a direct line
