event,series,start,city,state,company,domain,hq,employees,ownership,founded,in_target_list,priority,bucket,have_contact
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Holley Performance Products Inc.,holley.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Kinectrics,kinectrics.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Orange and Rockland Utilities, Inc.",oru.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Preformed Line Products,preformed.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,PPL Electric Utilities,pplelectric.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Metropolitan Water District of Southern California,mwdh2o.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Tokyo Electric Power Company Holdings, Inc.",tepco.co.jp,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Transpower New Zealand,transpower.co.nz,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Eugene Water & Electric Board (EWEB),eweb.org,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,MYNLHydro,nlhydro.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,ERCOT,ercot.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Sediver,sediver.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,NRECA,electric.coop,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Skydio, Inc.",skydio.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,OMICRON electronics,omicronenergy.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Hanson Professional Services Inc.,hanson-inc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Tri-State Generation and Transmission Association, Inc.",tristate.coop,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,American Transmission,atcllc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Powertech Labs Inc.,powertechlabs.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Resilient Structures,resilient-structures.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"ArborMetrics Solutions, LLC",arbormetrics.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Great River Energy,greatriverenergy.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Chelan County PUD,chelanpud.org,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Elexicon Energy,elexiconenergy.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,LS Power,lspower.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Nashville Electric Service,nespower.com,,,,,,,,
